1	A81758FFFE030FDA	SM-1602	65,05862834	25,46546437
2	A81758FFFE030F5A	SM-1601	65,05864615	25,46546437
3	A81758FFFE030F5D	SM-1502	65,05862834	25,4655046
4	A81758FFFE03107C	SM-1501	65,05864644	25,4655046
5	A81758FFFE030FFF	SM-1402	65,05862862	25,46554819
6	A81758FFFE03102E	SM-1401	65,05864644	25,46554752
7	A81758FFFE030F58	SR-1411	65,05868008	25,46554886
8	A81758FFFE030F6D	BK-2702	65,05889753	25,46499968
9	A81758FFFE030F67	BK-2602	65,05889188	25,46504259
10	A81758FFFE030F6C	BK-2601	65,05890997	25,46504259
11	A81758FFFE030F61	BK-2502	65,05889018	25,4650902
12	A81758FFFE030F49	BK-2501	65,05890969	25,46509221
13	A81758FFFE030F63	BK-2402	65,05889046	25,46513245
14	A81758FFFE030F48	BK-2401	65,05890969	25,46513446
15	A81758FFFE030F64	BK-2302	65,05889074	25,46517469
16	A81758FFFE030F47	BK-2301	65,05891223	25,46517737
17	A81758FFFE030F65	BK-2202	65,05889159	25,46521492
18	A81758FFFE030F46	BK-2201	65,05891223	25,46521828
19	A81758FFFE030F66	BK-2102	65,05889159	25,46526186
20	A81758FFFE030F45	BK-2101	65,05891252	25,46526186
21	A81758FFFE030F44	BK-2002	65,05889272	25,46529539
22	A81758FFFE030F43	BK-2001	65,05891337	25,4652974
23	A81758FFFE030F55	CM03-1103	65,05861279	25,46566889
24	A81758FFFE030F54	CM03-1102	65,05862806	25,46567157
25	A81758FFFE030F53	CM03-1101	65,05864587	25,46567157
26	A81758FFFE030F51	CM03-1002	65,05862777	25,46571381
27	A81758FFFE030F50	CM03-1001	65,05864644	25,46571381
28	A81758FFFE030F5B	BM02-0902	65,05862834	25,46576142
29	A81758FFFE030F4F	BM02-0901	65,05864502	25,46576008
30	A81758FFFE030F4E	BM02-0803	65,05861109	25,46580099
31	A81758FFFE030F4D	BM02-0802	65,05862693	25,46580099
32	A81758FFFE030F4C	BM02-0801	65,05864446	25,46580032
33	A81758FFFE030F4B	BM02-0701	65,05862721	25,46585128
34	A81758FFFE031079	AM01-0601	65,05863654	25,46588749
35	A81758FFFE031071	AM01-0502	65,0586289	25,46593308
36	A81758FFFE031070	AM01-0501	65,05864644	25,46593308
37	A81758FFFE031009	AM01-0402	65,05862862	25,46596929
38	A81758FFFE031008	AM01-0401	65,05864644	25,46596929
39	A81758FFFE031007	AM01-0302	65,05862806	25,46600752
40	A81758FFFE031006	AM01-0301	65,05864587	25,46600819
41	A81758FFFE031005	AM01-0202	65,05862749	25,4660444
42	A81758FFFE031004	AM01-0201	65,05864672	25,46604306
43	A81758FFFE031003	AM01-0102	65,05862862	25,46608195
44	A81758FFFE031002	AM01-0101	65,05864615	25,46608195
45	A81758FFFE03103A	TY-2913	65,0586289	25,46490647
46	A81758FFFE03103B	TY-2912	65,05864955	25,46490647
47	A81758FFFE031040	TY-2911	65,0586733	25,46490781
48	A81758FFFE031041	TY-2910	65,05869366	25,46490781
49	A81758FFFE031042	TY-2909	65,05871204	25,46490647
50	A81758FFFE030F5F	TY-2908	65,05873013	25,4649058
